"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"104","Alaska","2015-05-22",6.209091,20,0.0285,39,7.85625,0.2325,14,3
"105","Alaska","2015-05-23",7.725,15,0.036583,47,9.14375,0.2633335,29,3
"106","Alaska","2015-05-24",1.6875,4,0.039042,41,7.446894,0.197174,11,2
"107","Alaska","2015-05-25",2.168182,6,0.036333,38,7.6479165,0.2016665,11,2
"108","Alaska","2015-05-26",3.518182,8,0.031625,38,8.3875,0.2075,14,2
"109","Alaska","2015-05-27",4.208333,8,0.025833,33,8.56118,0.251395,14,3
"110","Alaska","2015-05-28",4.668182,8,0.021583,30,4.760606,0.259375,11,3
"111","Alaska","2015-05-29",3.641667,9,0.025833,34,1.2604165,0.2075,3,2
"112","Alaska","2015-05-30",4.095833,11,0.026875,33,2.27795,0.210652,9,2
"113","Alaska","2015-05-31",1.563636,7,0.033375,37,0.4895835,0.185,4,2
"114","Alaska","2015-06-01",2.734783,6,0.021917,26,0.7354165,0.1879165,3,2
"115","Alaska","2015-06-02",2.3625,8,0.031208,34,0.7033335,0.1197825,3,1
"116","Alaska","2015-06-03",2.313636,5,0.016917,23,0.2841615,0.1654165,1,2
"117","Alaska","2015-06-04",4,8,0.0205,26,0.96875,0.1954165,3,2
"118","Alaska","2015-06-05",2.833333,7,0.027083,32,0.8835405,0.191739,3,2
"119","Alaska","2015-06-06",3.8,9,0.023833,28,1.9166665,0.22375,11,3
"120","Alaska","2015-06-07",2.9,8,0.022583,26,1.3770835,0.1916665,3,2
"121","Alaska","2015-06-08",1.970833,3,0.027083,31,1.0403725,0.192174,1,2
"122","Alaska","2015-06-09",2.009091,5,0.027417,31,0.8458335,0.162708,1,2
"123","Alaska","2015-06-10",5.465217,12,0.020167,25,1.450932,0.1980435,4,2
"124","Alaska","2015-06-11",1.583333,4,0.021167,23,1.0757765,0.1926085,3,2
"125","Alaska","2015-06-12",2.336364,8,0.019,24,1.0916665,0.1933335,4,2
"126","Alaska","2015-06-13",3.329167,8,0.020667,27,1.5104165,0.2035415,4,2
"127","Alaska","2015-06-14",3.479167,8,0.024208,31,2.225155,0.209565,10,2
"128","Alaska","2015-06-15",5.019048,11,0.029111,36,1.9291665,0.2,7,2
"129","Alaska","2015-06-16",3.433333,14,0.028833,32,1.5541665,0.1939585,4,2
"130","Alaska","2015-06-17",4.845833,11,0.029792,32,2.6565215,0.1991305,16,2
"131","Alaska","2015-06-18",3.836364,11,0.026958,31,1.20625,0.2058335,3,2
