"","X.8","State","year","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi","Lat","Long","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"17",17,"Louisiana",2015,9.38047267493113,18.5619834710744,0.0235397768595041,33.9724517906336,1.07285079201102,0.220702915977961,3.06060606060606,3.24517906336088,31.244823,-92.145024,"Louisiana",NA,NA,NA,NA,NA,NA,""
"18",18,"Maine",2015,5.01578389393939,13.8140495867769,0.0248461349862259,29.4889807162534,0.870674339990817,0.247987578741965,1.58585858585859,3.36088154269972,45.253783,-69.445469,"Maine",NA,NA,NA,NA,NA,NA,""
"19",19,"Maryland",2015,7.46238284913242,14.4747945205479,0.0283392593607306,39.1208219178082,0.893802504794521,0.214762452146119,2.73470319634703,3.21342465753425,39.045755,-76.641271,"Maryland",NA,NA,NA,NA,NA,NA,""
"20",20,"Massachusetts",2015,14.398738250774,24.5479876160991,0.0224858637770898,28.6222910216718,0.71642386996904,0.273745886996904,1.19195046439628,4.10835913312694,42.407211,-71.382437,"Massachusetts",NA,NA,NA,NA,NA,NA,""
"21",21,"Minnesota",2015,6.60341041547278,14.7507163323782,0.0259739455587393,33.2722063037249,0.704569302292264,0.28252350286533,0.756446991404012,3.92151162790698,46.729553,-94.6859,"Minnesota",NA,NA,NA,NA,NA,NA,""
"22",22,"Missouri",2015,13.1099786978417,22.5395683453237,0.0206834604316547,27.4028776978417,1.39243753417266,0.269525902877698,5.60791366906475,4.07194244604317,37.964253,-91.831833,"Missouri",NA,NA,NA,NA,NA,NA,""
"23",23,"Nevada",2015,13.3533410938511,25.2200647249191,0.0310396062567422,44.1747572815534,0.393863038834951,0.268174266990291,0.854368932038835,4.28758169934641,38.80261,-116.419389,"Nevada",NA,NA,NA,NA,NA,NA,"Mississippi"
"24",24,"New Hampshire",2015,3.3202604301676,6.37709497206704,0.0299513547486034,36.1312849162011,0.829106308659218,0.183941029329609,0.972067039106145,2.20391061452514,43.193852,-71.572395,"New Hampshire",NA,NA,NA,NA,NA,NA,"Montana"
"25",25,"New Jersey",2015,15.0373282986301,27.2534246575342,0.0243493689497717,35.586301369863,0.294087170547945,0.284808776027397,1.12191780821918,4.5,40.058324,-74.405661,"New Jersey",NA,NA,NA,NA,NA,NA,"Nebraska"
"26",26,"New Mexico",2015,11.1827525198864,22.6619318181818,0.0298499204545455,40.5198863636364,0.686619964488636,0.229498055397727,1.04545454545455,3.63352272727273,34.97273,-105.032363,"New Mexico",NA,NA,NA,NA,NA,NA,"Puerto Rico"
"27",27,"New York",2015,17.2200640356164,29.8602739726027,0.0236616726027397,33.7109589041096,1.01164505136986,0.263278167808219,2.52602739726027,4.3,43.299428,-74.217933,"New York",NA,NA,NA,NA,NA,NA,"Vermont"
"28",28,"North Carolina",2015,6.92779494018265,15.2456621004566,0.0269160351598174,38.8173515981735,0.26869895890411,0.258458801598174,0.648858447488584,4.10684931506849,35.759573,-79.0193,"North Carolina",NA,NA,NA,NA,NA,NA,"West Virginia"
"29",29,"North Dakota",2015,4.2990242674772,9.88449848024316,0.024690896656535,30.5592705167173,0.121832303951368,0.171795302431611,0.109422492401216,2.08206686930091,47.551493,-101.002012,"North Dakota",NA,NA,NA,NA,NA,NA,""
"30",30,"Ohio",2015,12.484839930411,23.7673059360731,0.0240728087671233,32.7050228310502,2.2389623690411,0.269433179086758,13.5003652968037,4.14520547945205,40.417287,-82.907123,"Ohio",NA,NA,NA,NA,NA,NA,""
"31",31,"Oklahoma",2015,7.56622953305785,16.9944903581267,0.0265131652892562,38.2424242424242,0.773934936639118,0.236031353305785,1.48898071625344,4.00964187327824,35.007752,-97.092877,"Oklahoma",NA,NA,NA,NA,NA,NA,""
